Artist,Album,Genre,Style,Year,Ratings
FKA twigs,M3LL155X,Electronic,Trip Hop,2015, 8.6 
Royal Headache,High,Rock,Punk,2015, 8.0 
Beach House,Depression Cherry,Rock,Indie Rock,2015, 8.4 
Palehound,Dry Food,Rock,Indie Rock,2015, 8.0 
Aphex Twin / AFX,Orphaned Deejay Selek (2006-2008) EP,None,None,2015, 8.1 
Elysia Crampton,American Drift,Electronic,Experimental,2015, 8.1 
Dr. Dre,Compton,Hip Hop,Thug Rap,2015, 8.8 
Laraaji,Lotus Collage,None,None,2015, 8.0 
Chelsea Wolfe,Abyss,Electronic,Dark Ambient,2015, 8.1 
Krallice,Ygg Huur,Rock,Black Metal,2015, 8.2 
Julio Bashmore,Knockin' Boots,Electronic,House,2015, 8.0 
Led Zeppelin,Presence,Electronic,Ambient,2015, 7.6 
Titus Andronicus,The Most Lamentable Tragedy,Rock,Punk,2015, 8.1 
Gwenno,Y Dydd Olaf,Electronic,Experimental,2015, 8.0 
Miles Davis,Miles Davis at Newport 1955-1975: The Bootleg Series Vol. 4,None,None,2015, 8.0 
Mario Diaz de Leon,The Soul Is the Arena,Electronic,Abstract,2015, 8.0 
Locrian,Infinite Dissolution,Electronic,Experimental,2015, 8.2 
Future,Dirty Sprite 2,None,None,2015, 8.4 
Tame Impala,Currents,Rock,Alternative Rock,2015, 9.3 
RP Boo,Fingers Bank Pads & Shoe Prints,Electronic,Juke,2015, 8.0 
Miguel,Wildheart,Hip Hop,Contemporary R&B,2015, 8.9 
Kronos Quartet,One Earth One People One Love: Kronos Plays Terry Riley,None,None,2015, 8.4 
Vince Staples,Summertime '06,Hip Hop,Gangsta,2015, 8.8 
Thundercat,The Beyond / Where the Giants Roam,Hip Hop,Soul-Jazz,2015, 8.3 
Kacey Musgraves,Pageant Material,Folk World & Country,None,2015, 8.0 
False,Untitled,Hip Hop,None,2015, 8.0 
High on Fire,Luminiferous,Rock,Sludge Metal,2015, 8.0 
DJ Koze,DJ-Kicks,Electronic,Abstract,2015, 8.0 
Surgeon,Basictonalvocabulary,None,None,2015, 8.1 
Donnie Trumpet & the Social Experiment,Surf,Electronic,Glitch,2015, 8.3 
Obsequiae,Aria of Vernal Tombs,Rock,Folk Metal,2015, 8.0 
Jamie xx,In Colour,Electronic,House,2015, 9.3 
Swans,Filth,Rock,Death Metal,2015, 8.1 
Dr. Yen Lo,Days With Dr. Yen Lo,Hip Hop,Conscious,2015, 8.0 
